Date	Trade Sales	Week	Titles	Shelf Space	Total Sales
4-Jan-10	$2,509 	1	40	16	$25,129 
11-Jan-10	$3,199 	2	38	16	$30,786 
18-Jan-10	$3,896 	3	44	32	$27,137 
25-Jan-10	$4,700 	4	48	24	$33,295 
1-Feb-10	$5,488 	5	45	32	$34,107 
8-Feb-10	$4,437 	6	39	15	$29,692 
15-Feb-10	$3,809 	7	41	24	$38,291 
22-Feb-10	$4,362 	8	47	34	$36,459 
1-Mar-10	$5,119 	9	35	19	$34,823 
8-Mar-10	$4,924 	10	40	24	$30,527 
15-Mar-10	$3,650 	11	40	18	$27,994 
22-Mar-10	$3,454 	12	48	30	$27,680 
29-Mar-10	$3,023 	13	41	14	$31,214 
5-Apr-10	$3,177 	14	41	18	$34,555 
12-Apr-10	$4,945 	15	41	14	$34,356 
19-Apr-10	$5,802 	16	39	19	$35,810 
26-Apr-10	$4,187 	17	44	26	$35,928 
3-May-10	$3,826 	18	42	25	$34,697 
10-May-10	$3,790 	19	41	22	$29,783 
17-May-10	$4,327 	20	46	22	$28,995 
24-May-10	$3,044 	21	44	24	$30,607 
31-May-10	$4,527 	22	46	27	$34,402 
7-Jun-10	$3,943 	23	37	18	$29,169 
14-Jun-10	$3,606 	24	38	18	$28,650 
21-Jun-10	$3,964 	25	49	22	$29,567 
28-Jun-10	$3,400 	26	42	23	$36,112 
5-Jul-10	$2,754 	27	37	19	$28,032 
12-Jul-10	$3,053 	28	45	19	$33,219 
19-Jul-10	$3,937 	29	40	9	$34,004 
26-Jul-10	$3,953 	30	40	22	$33,070 
2-Aug-10	$4,105 	31	47	29	$30,664 
9-Aug-10	$3,454 	32	42	22	$28,809 
16-Aug-10	$3,904 	33	45	19	$28,287 
23-Aug-10	$4,739 	34	39	21	$34,359 
30-Aug-10	$6,108 	35	45	27	$40,769 
6-Sep-10	$6,109 	36	42	24	$46,155 
13-Sep-10	$5,852 	37	40	19	$38,889 
20-Sep-10	$6,089 	38	42	19	$38,175 
27-Sep-10	$5,367 	39	38	20	$32,953 
4-Oct-10	$5,640 	40	39	23	$37,184 
11-Oct-10	$5,242 	41	38	24	$36,067 
18-Oct-10	$4,144 	42	41	14	$34,019 
25-Oct-10	$3,725 	43	33	15	$30,803 
1-Nov-10	$3,522 	44	42	13	$36,374 
8-Nov-10	$3,688 	45	43	11	$49,492 
15-Nov-10	$2,870 	46	38	33	$27,266 
22-Nov-10	$2,583 	47	43	26	$28,447 
29-Nov-10	$2,531 	48	36	16	$32,519 
6-Dec-10	$3,918 	49	46	21	$36,670 
13-Dec-10	$4,050 	50	43	20	$40,871 
20-Dec-10	$3,548 	51	34	11	$50,092 
27-Dec-10	$2,958 	52	41	17	$29,976 
3-Jan-11	$2,733 	53	43	23	$27,033 
10-Jan-11	$2,487 	54	41	17	$30,278 
17-Jan-11	$3,333 	55	48	34	$29,866 
24-Jan-11	$3,221 	56	38	29	$31,945 
31-Jan-11	$3,054 	57	47	24	$35,608 
7-Feb-11	$2,814 	58	43	18	$34,885 
14-Feb-11	$3,258 	59	41	13	$37,248 
21-Feb-11	$2,984 	60	35	21	$36,916 
28-Feb-11	$2,611 	61	42	16	$37,210 
7-Mar-11	$3,129 	62	44	20	$32,028 
14-Mar-11	$2,831 	63	47	27	$27,025 
21-Mar-11	$2,470 	64	45	23	$30,737 
28-Mar-11	$3,524 	65	46	21	$36,179 
4-Apr-11	$2,457 	66	40	6	$39,347 
11-Apr-11	$3,354 	67	49	21	$37,056 
18-Apr-11	$3,194 	68	45	18	$33,532 
25-Apr-11	$4,087 	69	43	27	$35,459 
2-May-11	$3,985 	70	47	31	$35,030 
9-May-11	$3,547 	71	41	16	$29,012 
16-May-11	$3,764 	72	41	21	$29,239 
23-May-11	$5,177 	73	38	25	$32,527 
30-May-11	$3,409 	74	39	19	$32,057 
6-Jun-11	$3,331 	75	42	21	$29,722 
13-Jun-11	$3,667 	76	46	19	$29,794 
20-Jun-11	$3,575 	77	44	19	$32,015 
27-Jun-11	$3,868 	78	48	20	$31,738 
4-Jul-11	$4,417 	79	37	17	$28,574 
11-Jul-11	$3,333 	80	31	16	$35,832 
18-Jul-11	$4,250 	81	41	23	$30,887 
25-Jul-11	$5,113 	82	33	20	$32,098 
1-Aug-11	$4,549 	83	41	21	$29,679 
8-Aug-11	$4,111 	84	44	21	$26,993 
15-Aug-11	$2,739 	85	43	16	$30,105 
22-Aug-11	$3,793 	86	39	16	$34,696 
29-Aug-11	$4,880 	87	40	22	$45,862 
5-Sep-11	$4,209 	88	41	17	$45,635 
12-Sep-11	$4,763 	89	42	25	$45,717 
19-Sep-11	$4,952 	90	47	17	$40,611 
26-Sep-11	$3,932 	91	33	17	$36,405 
3-Oct-11	$4,581 	92	43	24	$37,395 
10-Oct-11	$5,229 	93	47	26	$35,566 
17-Oct-11	$5,055 	94	41	14	$34,423 
24-Oct-11	$3,959 	95	42	18	$33,581 
31-Oct-11	$5,100 	96	42	15	$35,657 
7-Nov-11	$6,368 	97	42	23	$54,402 
14-Nov-11	$4,933 	98	38	18	$31,441 
21-Nov-11	$4,847 	99	39	16	$30,353 
28-Nov-11	$4,950 	100	39	24	$34,303 
5-Dec-11	$5,218 	101	43	22	$37,015 
12-Dec-11	$6,025 	102	43	32	$44,036 
19-Dec-11	$6,024 	103	47	24	$48,247 
26-Dec-11	$3,863 	104	44	17	$24,394 
