Date	Shipments (billion)	Shipments (billion, SA)	Month	Lag Shipments (billion, SA)	Lag 2	Lag 3	Lag 4	Lag 5	Lag 6
1992.041667	$19.17 	$22.36 	Jan						
1992.125	$21.27 	$21.94 	Feb	$22.36 					
1992.208333	$24.87 	$22.50 	Mar	$21.94 	22.357				
1992.291667	$20.68 	$23.05 	Apr	$22.50 	21.936	22.357			
1992.375	$21.30 	$23.00 	May	$23.05 	22.503	21.936	22.357		
1992.458333	$25.49 	$22.72 	Jun	$23.00 	23.047	22.503	21.936	22.357	
1992.541667	$20.00 	$23.21 	Jul	$22.72 	22.998	23.047	22.503	21.936	22.357
1992.625	$21.70 	$22.63 	Aug	$23.21 	22.718	22.998	23.047	22.503	21.936
1992.708333	$25.89 	$22.71 	Sep	$22.63 	23.211	22.718	22.998	23.047	22.503
1992.791667	$22.64 	$22.87 	Oct	$22.71 	22.626	23.211	22.718	22.998	23.047
1992.875	$23.71 	$23.08 	Nov	$22.87 	22.709	22.626	23.211	22.718	22.998
1992.958333	$27.01 	$23.16 	Dec	$23.08 	22.87	22.709	22.626	23.211	22.718
1993.041667	$19.50 	$23.13 	Jan	$23.16 	23.077	22.87	22.709	22.626	23.211
1993.125	$22.08 	$23.46 	Feb	$23.13 	23.155	23.077	22.87	22.709	22.626
1993.208333	$25.99 	$23.37 	Mar	$23.46 	23.126	23.155	23.077	22.87	22.709
1993.291667	$20.64 	$22.99 	Apr	$23.37 	23.459	23.126	23.155	23.077	22.87
1993.375	$21.80 	$23.32 	May	$22.99 	23.367	23.459	23.126	23.155	23.077
1993.458333	$26.64 	$23.98 	Jun	$23.32 	22.993	23.367	23.459	23.126	23.155
1993.541667	$20.46 	$23.89 	Jul	$23.98 	23.318	22.993	23.367	23.459	23.126
1993.625	$22.95 	$23.99 	Aug	$23.89 	23.977	23.318	22.993	23.367	23.459
1993.708333	$28.01 	$24.17 	Sep	$23.99 	23.891	23.977	23.318	22.993	23.367
1993.791667	$23.89 	$24.42 	Oct	$24.17 	23.993	23.891	23.977	23.318	22.993
1993.875	$25.55 	$24.81 	Nov	$24.42 	24.169	23.993	23.891	23.977	23.318
1993.958333	$28.96 	$24.68 	Dec	$24.81 	24.424	24.169	23.993	23.891	23.977
1994.041667	$21.54 	$25.36 	Jan	$24.68 	24.805	24.424	24.169	23.993	23.891
1994.125	$24.19 	$25.69 	Feb	$25.36 	24.677	24.805	24.424	24.169	23.993
1994.208333	$27.90 	$25.13 	Mar	$25.69 	25.363	24.677	24.805	24.424	24.169
1994.291667	$23.56 	$26.56 	Apr	$25.13 	25.687	25.363	24.677	24.805	24.424
1994.375	$24.62 	$26.52 	May	$26.56 	25.129	25.687	25.363	24.677	24.805
1994.458333	$29.66 	$26.22 	Jun	$26.52 	26.556	25.129	25.687	25.363	24.677
1994.541667	$23.02 	$27.32 	Jul	$26.22 	26.523	26.556	25.129	25.687	25.363
1994.625	$26.20 	$27.19 	Aug	$27.32 	26.215	26.523	26.556	25.129	25.687
1994.708333	$31.22 	$26.79 	Sep	$27.19 	27.32	26.215	26.523	26.556	25.129
1994.791667	$27.14 	$27.51 	Oct	$26.79 	27.188	27.32	26.215	26.523	26.556
1994.875	$28.79 	$28.31 	Nov	$27.51 	26.789	27.188	27.32	26.215	26.523
1994.958333	$32.94 	$28.01 	Dec	$28.31 	27.506	26.789	27.188	27.32	26.215
1995.041667	$24.30 	$28.86 	Jan	$28.01 	28.311	27.506	26.789	27.188	27.32
1995.125	$27.23 	$28.88 	Feb	$28.86 	28.009	28.311	27.506	26.789	27.188
1995.208333	$32.86 	$29.16 	Mar	$28.88 	28.858	28.009	28.311	27.506	26.789
1995.291667	$26.24 	$29.95 	Apr	$29.16 	28.882	28.858	28.009	28.311	27.506
1995.375	$28.52 	$30.62 	May	$29.95 	29.155	28.882	28.858	28.009	28.311
1995.458333	$35.07 	$30.74 	Jun	$30.62 	29.948	29.155	28.882	28.858	28.009
1995.541667	$25.71 	$30.37 	Jul	$30.74 	30.624	29.948	29.155	28.882	28.858
1995.625	$30.20 	$31.42 	Aug	$30.37 	30.735	30.624	29.948	29.155	28.882
1995.708333	$37.23 	$32.15 	Sep	$31.42 	30.37	30.735	30.624	29.948	29.155
1995.791667	$31.43 	$32.10 	Oct	$32.15 	31.423	30.37	30.735	30.624	29.948
1995.875	$33.35 	$32.34 	Nov	$32.10 	32.145	31.423	30.37	30.735	30.624
1995.958333	$38.56 	$33.24 	Dec	$32.34 	32.097	32.145	31.423	30.37	30.735
1996.041667	$26.48 	$31.48 	Jan	$33.24 	32.343	32.097	32.145	31.423	30.37
1996.125	$31.09 	$31.69 	Feb	$31.48 	33.235	32.343	32.097	32.145	31.423
1996.208333	$37.03 	$33.29 	Mar	$31.69 	31.48	33.235	32.343	32.097	32.145
1996.291667	$28.81 	$32.53 	Apr	$33.29 	31.694	31.48	33.235	32.343	32.097
1996.375	$30.70 	$32.86 	May	$32.53 	33.288	31.694	31.48	33.235	32.343
1996.458333	$37.39 	$33.12 	Jun	$32.86 	32.529	33.288	31.694	31.48	33.235
1996.541667	$27.51 	$32.40 	Jul	$33.12 	32.857	32.529	33.288	31.694	31.48
1996.625	$31.85 	$33.13 	Aug	$32.40 	33.118	32.857	32.529	33.288	31.694
1996.708333	$39.07 	$33.36 	Sep	$33.13 	32.396	33.118	32.857	32.529	33.288
1996.791667	$33.09 	$33.95 	Oct	$33.36 	33.125	32.396	33.118	32.857	32.529
1996.875	$35.18 	$34.68 	Nov	$33.95 	33.356	33.125	32.396	33.118	32.857
1996.958333	$41.32 	$35.03 	Dec	$34.68 	33.953	33.356	33.125	32.396	33.118
1997.041667	$28.26 	$33.93 	Jan	$35.03 	34.68	33.953	33.356	33.125	32.396
1997.125	$33.09 	$35.36 	Feb	$33.93 	35.027	34.68	33.953	33.356	33.125
1997.208333	$41.59 	$36.81 	Mar	$35.36 	33.926	35.027	34.68	33.953	33.356
1997.291667	$31.13 	$35.80 	Apr	$36.81 	35.355	33.926	35.027	34.68	33.953
1997.375	$33.23 	$35.89 	May	$35.80 	36.809	35.355	33.926	35.027	34.68
1997.458333	$43.30 	$37.29 	Jun	$35.89 	35.803	36.809	35.355	33.926	35.027
1997.541667	$31.25 	$37.01 	Jul	$37.29 	35.887	35.803	36.809	35.355	33.926
1997.625	$35.59 	$37.93 	Aug	$37.01 	37.294	35.887	35.803	36.809	35.355
1997.708333	$44.63 	$37.83 	Sep	$37.93 	37.009	37.294	35.887	35.803	36.809
1997.791667	$35.82 	$36.89 	Oct	$37.83 	37.934	37.009	37.294	35.887	35.803
1997.875	$36.42 	$36.54 	Nov	$36.89 	37.834	37.934	37.009	37.294	35.887
1997.958333	$45.07 	$37.52 	Dec	$36.54 	36.886	37.834	37.934	37.009	37.294
1998.041667	$29.31 	$35.38 	Jan	$37.52 	36.536	36.886	37.834	37.934	37.009
