Date	Season	Hourly Compensation, Maufacturing	Quarter	Late Dummy	Dummy * Quarter	Pct Growth Compensation	Lag Pct Chg Comp
1/1/1987	1	59.958	1	0	0		
4/1/1987	2	60.171	2	0	0	0.35524867	
7/1/1987	3	61.055	3	0	0	1.46914627	0.355248674
10/1/1987	4	62.167	4	0	0	1.82130866	1.469146267
1/1/1988	1	63.427	5	0	0	2.02679878	1.821308656
4/1/1988	2	64.361	6	0	0	1.472559	2.026798784
7/1/1988	3	65.268	7	0	0	1.40923851	1.472559005
10/1/1988	4	66.58	8	0	0	2.01017344	1.409238514
1/1/1989	1	66.976	9	0	0	0.59477321	2.010173439
4/1/1989	2	66.819	10	0	0	-0.2344123	0.594773205
7/1/1989	3	67.363	11	0	0	0.81413969	-0.234412327
10/1/1989	4	67.967	12	0	0	0.89663465	0.814139691
1/1/1990	1	67.719	13	0	0	-0.364883	0.896634651
4/1/1990	2	69.07	14	0	0	1.99500879	-0.364882958
7/1/1990	3	69.242	15	0	0	0.24902273	1.995008786
10/1/1990	4	69.108	16	0	0	-0.1935242	0.249022731
1/1/1991	1	68.633	17	0	0	-0.68733	-0.193524162
4/1/1991	2	69.377	18	0	0	1.08402663	-0.687329976
7/1/1991	3	70.307	19	0	0	1.3405019	1.084026634
10/1/1991	4	70.872	20	0	0	0.80361842	1.340501895
1/1/1992	1	71.462	21	0	0	0.83248674	0.803618416
4/1/1992	2	72.557	22	0	0	1.53228289	0.832486737
7/1/1992	3	73.15	23	0	0	0.81728848	1.532282892
10/1/1992	4	73.758	24	0	0	0.83116883	0.817288477
1/1/1993	1	74.064	25	0	0	0.41487025	0.831168831
4/1/1993	2	74.897	26	0	0	1.12470296	0.414870251
7/1/1993	3	75.706	27	0	0	1.08015007	1.12470296
10/1/1993	4	76.735	28	0	0	1.35920535	1.080150073
1/1/1994	1	77.44	29	0	0	0.91874633	1.359205347
4/1/1994	2	78.3	30	0	0	1.11053719	0.918746335
7/1/1994	3	79.466	31	0	0	1.48914432	1.11053719
10/1/1994	4	80.971	32	0	0	1.89389173	1.489144317
1/1/1995	1	80.219	33	0	0	-0.9287276	1.893891727
4/1/1995	2	80.488	34	0	0	0.33533203	-0.928727569
7/1/1995	3	81.13	35	0	0	0.79763443	0.335332029
10/1/1995	4	81.527	36	0	0	0.4893381	0.79763443
1/1/1996	1	80.354	37	0	0	-1.4387872	0.489338099
4/1/1996	2	81.801	38	0	0	1.80078154	-1.43878715
7/1/1996	3	82.598	39	0	0	0.97431572	1.800781542
10/1/1996	4	83.377	40	0	0	0.94312211	0.974315717
1/1/1997	1	83.654	41	0	0	0.33222591	0.94312211
4/1/1997	2	84.71	42	0	0	1.26234251	0.332225914
7/1/1997	3	85.862	43	0	0	1.35993389	1.262342506
10/1/1997	4	87.97	44	0	0	2.45510237	1.359933892
1/1/1998	1	89.488	45	0	0	1.72558827	2.455102374
4/1/1998	2	90.455	46	0	0	1.08059181	1.725588269
7/1/1998	3	90.826	47	0	0	0.41014869	1.080591811
10/1/1998	4	91.759	48	0	0	1.0272389	0.410148693
1/1/1999	1	92.487	49	0	0	0.79338267	1.027238896
4/1/1999	2	93.007	50	0	0	0.56224118	0.793382666
7/1/1999	3	94.468	51	0	0	1.57084951	0.56224118
10/1/1999	4	95.875	52	0	0	1.48939323	1.570849506
1/1/2000	1	99.822	53	0	0	4.11681877	1.489393234
4/1/2000	2	99.133	54	0	0	-0.6902286	4.116818774
7/1/2000	3	100.945	55	0	0	1.82784744	-0.690228607
10/1/2000	4	99.798	56	0	0	-1.1362623	1.827847437
1/1/2001	1	99.179	57	0	0	-0.6202529	-1.136262321
4/1/2001	2	97.76	58	0	0	-1.4307464	-0.620252911
7/1/2001	3	96.088	59	0	0	-1.710311	-1.430746428
10/1/2001	4	94.705	60	0	0	-1.4393056	-1.710310966
1/1/2002	1	94.559	61	0	0	-0.1541629	-1.439305636
4/1/2002	2	95.393	62	0	0	0.88198902	-0.154162927
7/1/2002	3	95.122	63	0	0	-0.2840879	0.881989023
10/1/2002	4	95.071	64	0	0	-0.0536154	-0.284087931
1/1/2003	1	96.887	65	0	0	1.91015136	-0.053615357
4/1/2003	2	97.089	66	0	0	0.2084903	1.910151361
7/1/2003	3	96.982	67	0	0	-0.1102082	0.208490303
10/1/2003	4	99.409	68	0	0	2.50252624	-0.11020816
1/1/2004	1	95.542	69	0	0	-3.8899898	2.502526242
4/1/2004	2	96.987	70	0	0	1.51242386	-3.88998984
7/1/2004	3	99.195	71	0	0	2.27659377	1.512423856
10/1/2004	4	99.761	72	0	0	0.57059328	2.27659377
1/1/2005	1	98.956	73	0	0	-0.8069286	0.570593276
4/1/2005	2	99.695	74	0	0	0.74679656	-0.806928559
7/1/2005	3	100.604	75	0	0	0.91178093	0.746796556
10/1/2005	4	100.742	76	0	0	0.13717148	0.911780932
1/1/2006	1	102.925	77	0	0	2.16692144	0.137171484
4/1/2006	2	102.424	78	0	0	-0.4867622	2.166921443
7/1/2006	3	102.063	79	0	0	-0.3524565	-0.486762205
10/1/2006	4	103.649	80	0	0	1.55394217	-0.352456456
1/1/2007	1	104.373	81	0	0	0.69851132	1.553942173
4/1/2007	2	104.272	82	0	0	-0.0967683	0.698511322
7/1/2007	3	103.82	83	0	0	-0.4334817	-0.096768321
10/1/2007	4	104.76	84	0	0	0.90541322	-0.433481663
1/1/2008	1	105.582	85	0	0	0.78465063	0.905413215
4/1/2008	2	105.397	86	0	0	-0.1752193	0.78465063
7/1/2008	3	104.404	87	0	0	-0.9421521	-0.175219261
10/1/2008	4	102.341	88	0	0	-1.9759779	-0.942152054
1/1/2009	1	96.922	89	0	0	-5.295043	-1.975977932
4/1/2009	2	94.731	90	1	90	-2.2605807	-5.295043042
7/1/2009	3	93.869	91	1	91	-0.909945	-2.260580673
10/1/2009	4	94.409	92	1	92	0.57526979	-0.909945002
1/1/2010	1	94.461	93	1	93	0.05507949	0.575269791
4/1/2010	2	96.236	94	1	94	1.87908237	0.055079495
7/1/2010	3	97.441	95	1	95	1.25213018	1.879082373
10/1/2010	4	97.736	96	1	96	0.3027473	1.25213018
1/1/2011	1	99.547	97	1	97	1.85295081	0.302747304
4/1/2011	2	99.691	98	1	98	0.14465529	1.852950806
7/1/2011	3	100.407	99	1	99	0.7182193	0.144655289
10/1/2011	4	102.063	100	1	100	1.6492874	0.718219298
			101	1	101		1.6492874
