Date	Month	Exxon-Mobil Price	Lag 1 Price	Lag 2 Price	Exxon-Mobil  Return	Lag 1 Return	Lag 2 Return
20000131	1	83.4375			0.035687		
20000229	2	75.7524891	83.4375		-0.092105	0.035687	
20000331	3	78.3928421	75.7524891	83.4375	0.034855	-0.092105	0.035687
20000428	4	78.1413578	78.3928421	75.7524891	-0.003208	0.034855	-0.092105
20000531	5	84.2417755	78.1413578	78.3928421	0.078069	-0.003208	0.034855
20000630	6	79.3756336	84.2417755	78.1413578	-0.057764	0.078069	-0.003208
20000731	7	80.8923432	79.3756336	84.2417755	0.019108	-0.057764	0.078069
20000831	8	82.9803363	80.8923432	79.3756336	0.025812	0.019108	-0.057764
20000929	9	90.6049016	82.9803363	80.8923432	0.091884	0.025812	0.019108
20001031	10	90.6684156	90.6049016	82.9803363	0.000701	0.091884	0.025812
20001130	11	89.9085236	90.6684156	90.6049016	-0.008381	0.000701	0.091884
20001229	12	88.8229681	89.9085236	90.6684156	-0.012074	-0.008381	0.000701
20010131	13	85.9750373	88.8229681	89.9085236	-0.032063	-0.012074	-0.008381
20010228	14	83.2573663	85.9750373	88.8229681	-0.03161	-0.032063	-0.012074
20010330	15	83.2059966	83.2573663	85.9750373	-0.000617	-0.03161	-0.032063
20010430	16	91.0129656	83.2059966	83.2573663	0.093827	-0.000617	-0.03161
20010531	17	91.6190209	91.0129656	83.2059966	0.006659	0.093827	-0.000617
20010629	18	90.1944368	91.6190209	91.0129656	-0.015549	0.006659	0.093827
20010731	19	86.2396813	90.1944368	91.6190209	-0.043847	-0.015549	0.006659
20010831	20	83.3898048	86.2396813	90.1944368	-0.033046	-0.043847	-0.015549
20010928	21	81.8320832	83.3898048	86.2396813	-0.01868	-0.033046	-0.043847
20011031	22	81.9359282	81.8320832	83.3898048	0.001269	-0.01868	-0.033046
20011130	23	78.155896	81.9359282	81.8320832	-0.046134	0.001269	-0.01868
20011231	24	82.1263719	78.155896	81.9359282	0.050802	-0.046134	0.001269
20020131	25	81.603966	82.1263719	78.155896	-0.006361	0.050802	-0.046134
20020228	26	86.7864707	81.603966	82.1263719	0.063508	-0.006361	0.050802
20020328	27	92.1029231	86.7864707	81.603966	0.061259	0.063508	-0.006361
20020430	28	84.4118685	92.1029231	86.7864707	-0.083505	0.061259	0.063508
20020531	29	84.39085	84.4118685	92.1029231	-0.000249	-0.083505	0.061259
20020628	30	86.4831523	84.39085	84.4118685	0.024793	-0.000249	-0.083505
20020731	31	77.6911021	86.4831523	84.39085	-0.101662	0.024793	-0.000249
20020830	32	75.4085375	77.6911021	86.4831523	-0.02938	-0.101662	0.024793
20020930	33	67.8570511	75.4085375	77.6911021	-0.100141	-0.02938	-0.101662
20021031	34	71.6008604	67.8570511	75.4085375	0.055172	-0.100141	-0.02938
20021129	35	74.515087	71.6008604	67.8570511	0.040701	0.055172	-0.100141
20021231	36	74.8148612	74.515087	71.6008604	0.004023	0.040701	0.055172
20030131	37	73.1232972	74.8148612	74.515087	-0.02261	0.004023	0.040701
20030228	38	73.3374022	73.1232972	74.8148612	0.002928	-0.02261	0.004023
20030331	39	75.3422267	73.3374022	73.1232972	0.027337	0.002928	-0.02261
20030430	40	75.8811497	75.3422267	73.3374022	0.007153	0.027337	0.002928
20030530	41	79.0069219	75.8811497	75.3422267	0.041193	0.007153	0.027337
20030630	42	77.9433307	79.0069219	75.8811497	-0.013462	0.041193	0.007153
20030731	43	77.2270315	77.9433307	79.0069219	-0.00919	-0.013462	0.041193
20030829	44	82.3711241	77.2270315	77.9433307	0.06661	-0.00919	-0.013462
20030930	45	79.9676994	82.3711241	77.2270315	-0.029178	0.06661	-0.00919
20031031	46	79.924037	79.9676994	82.3711241	-0.000546	-0.029178	0.06661
20031128	47	79.639987	79.924037	79.9676994	-0.003554	-0.000546	-0.029178
20031231	48	90.2000104	79.639987	79.924037	0.132597	-0.003554	-0.000546
20040130	49	89.7380059	90.2000104	79.639987	-0.005122	0.132597	-0.003554
20040227	50	93.3240264	89.7380059	90.2000104	0.039961	-0.005122	0.132597
20040331	51	92.0404477	93.3240264	89.7380059	-0.013754	0.039961	-0.005122
20040430	52	94.1649253	92.0404477	93.3240264	0.023082	-0.013754	0.039961
20040528	53	96.3116031	94.1649253	92.0404477	0.022797	0.023082	-0.013754
20040630	54	98.8947766	96.3116031	94.1649253	0.026821	0.022797	0.023082
20040730	55	103.103541	98.8947766	96.3116031	0.042558	0.026821	0.022797
20040831	56	103.259433	103.103541	98.8947766	0.001512	0.042558	0.026821
20040930	57	108.254402	103.259433	103.103541	0.048373	0.001512	0.042558
20041029	58	110.247906	108.254402	103.259433	0.018415	0.048373	0.001512
20041130	59	115.399681	110.247906	108.254402	0.046729	0.018415	0.048373
20041231	60	115.422184	115.399681	110.247906	0.000195	0.046729	0.018415
20050131	61	116.187779	115.422184	115.399681	0.006633	0.000195	0.046729
20050228	62	143.163212	116.187779	115.422184	0.232171	0.006633	0.000195
20050331	63	134.773705	143.163212	116.187779	-0.058601	0.232171	0.006633
20050429	64	128.962128	134.773705	143.163212	-0.043121	-0.058601	0.232171
20050531	65	127.740985	128.962128	134.773705	-0.009469	-0.043121	-0.058601
20050630	66	130.627676	127.740985	128.962128	0.022598	-0.009469	-0.043121
20050729	67	133.537016	130.627676	127.740985	0.022272	0.022598	-0.009469
20050831	68	136.810142	133.537016	130.627676	0.024511	0.022272	0.022598
20050930	69	145.12382	136.810142	133.537016	0.060768	0.024511	0.022272
20051031	70	128.22241	145.12382	136.810142	-0.116462	0.060768	0.024511
20051130	71	133.201414	128.22241	145.12382	0.038831	-0.116462	0.060768
20051230	72	128.932043	133.201414	128.22241	-0.032052	0.038831	-0.116462
20060131	73	144.035658	128.932043	133.201414	0.117144	-0.032052	0.038831
20060228	74	137.011759	144.035658	128.932043	-0.048765	0.117144	-0.032052
20060331	75	140.450343	137.011759	144.035658	0.025097	-0.048765	0.117144
20060428	76	145.57355	140.450343	137.011759	0.036477	0.025097	-0.048765
20060531	77	141.304169	145.57355	140.450343	-0.029328	0.036477	0.025097
20060630	78	142.32495	141.304169	145.57355	0.007224	-0.029328	0.036477
20060731	79	157.148948	142.32495	141.304169	0.104156	0.007224	-0.029328
20060831	80	157.728985	157.148948	142.32495	0.003691	0.104156	0.007224
