Date	Month	JC Penney Price	Lag 1 Price	Lag 2 Price	Lag 3 Price	JC Penney  Return	Lag 1 Return	Lag 2 Return
20000131	1	19.625				-0.001254		
20000229	2	15.7500045	19.625			-0.197452	-0.001254	
20000331	3	14.8749972	15.7500045	19.625		-0.055556	-0.197452	-0.001254
20000428	4	14.1624998	14.8749972	15.7500045	19.625	-0.047899	-0.055556	-0.197452
20000531	5	18.5005584	14.1624998	14.8749972	15.7500045	0.306306	-0.047899	-0.055556
20000630	6	18.8195265	18.5005584	14.1624998	14.87499725	0.017241	0.306306	-0.047899
20000731	7	16.7525591	18.8195265	18.5005584	14.16249976	-0.109831	0.017241	0.306306
20000831	8	14.5448566	16.7525591	18.8195265	18.50055841	-0.131783	-0.109831	0.017241
20000929	9	12.2722228	14.5448566	16.7525591	18.81952654	-0.15625	-0.131783	-0.109831
20001031	10	12.3371551	12.2722228	14.5448566	16.75255912	0.005291	-0.15625	-0.131783
20001130	11	10.1059683	12.3371551	12.2722228	14.54485662	-0.180851	0.005291	-0.15625
20001229	12	11.4184304	10.1059683	12.3371551	12.27222277	0.12987	-0.180851	0.005291
20010131	13	14.7993362	11.4184304	10.1059683	12.3371551	0.296092	0.12987	-0.180851
20010228	14	17.140532	14.7993362	11.4184304	10.10596827	0.158196	0.296092	0.12987
20010330	15	16.9392508	17.140532	14.7993362	11.41843036	-0.011743	0.158196	0.296092
20010430	16	21.5951563	16.9392508	17.140532	14.79933625	0.274859	-0.011743	0.158196
20010531	17	22.2879937	21.5951563	16.9392508	17.14053204	0.032083	0.274859	-0.011743
20010629	18	28.0971587	22.2879937	21.5951563	16.93925078	0.260641	0.032083	0.274859
20010731	19	30.4474579	28.0971587	22.2879937	21.5951563	0.083649	0.260641	0.032083
20010831	20	25.6940617	30.4474579	28.0971587	22.2879937	-0.156118	0.083649	0.260641
20010928	21	23.4458313	25.6940617	30.4474579	28.09715867	-0.0875	-0.156118	0.083649
20011031	22	23.3869588	23.4458313	25.6940617	30.4474579	-0.002511	-0.0875	-0.156118
20011130	23	27.284793	23.3869588	23.4458313	25.69406167	0.166667	-0.002511	-0.0875
20011231	24	28.9645268	27.284793	23.3869588	23.44583127	0.061563	0.166667	-0.002511
20020131	25	26.9133169	28.9645268	27.284793	23.38695879	-0.070818	0.061563	0.166667
20020228	26	21.1454163	26.9133169	28.9645268	27.28479305	-0.214314	-0.070818	0.061563
20020328	27	22.4115404	21.1454163	26.9133169	28.96452676	0.059877	-0.214314	-0.070818
20020430	28	23.661432	22.4115404	21.1454163	26.91331691	0.05577	0.059877	-0.214314
20020531	29	26.6218321	23.661432	22.4115404	21.14541631	0.125115	0.05577	0.059877
20020628	30	23.9661712	26.6218321	23.661432	22.4115404	-0.099755	0.125115	0.05577
20020731	31	19.2915695	23.9661712	26.6218321	23.66143201	-0.19505	-0.099755	0.125115
20020830	32	19.0285097	19.2915695	23.9661712	26.62183207	-0.013636	-0.19505	-0.099755
