Date	Enron Price	Split Price	Market Cap ($M)	Return on Enron	Percentage Change, Enron	Return on Whole Market	Percentage Change, Whole Market	Shares (000)
1986.25	37.5	37.5	1675	0.01	0.67	-0.007901784	-0.7901784	44662
1986.33	41.38	41.375	1848	0.12	11.99	0.05080497	5.080497	44662
1986.42	44	44	1965	0.06	6.34	0.01423685	1.423685	44662
1986.5	40	40	1786	-0.09	-9.09	-0.05969638	-5.969638	44662
1986.58	49.88	49.875	2228	0.26	26.24	0.06618008	6.618008	44662
1986.67	46.5	46.5	2096	-0.07	-6.77	-0.07901871	-7.901871	45082
1986.75	40.13	40.125	1809	-0.14	-13.71	0.04931133	4.931133	45082
1986.83	41.25	41.25	1860	0.04	4.35	0.0150753	1.50753	45082
1986.92	39.5	39.5	1754	-0.04	-4.24	-0.02638599	-2.638599	44402
1987	44.88	44.875	1993	0.14	13.61	0.1284803	12.84803	44402
1987.08	44.38	44.375	1970	0	0.27	0.04790082	4.790082	44402
1987.17	46.5	46.5	2065	0.05	4.79	0.02364336	2.364336	44402
1987.25	47.88	47.875	2126	0.03	2.96	-0.01700714	-1.700714	44402
1987.33	47.13	47.125	2092	0	-0.27	0.00512505	0.512505	44402
1987.42	46.38	46.375	2059	-0.02	-1.59	0.04369069	4.369069	44402
1987.5	49.38	49.375	2192	0.06	6.47	0.04422507	4.422507	44402
1987.58	50.88	50.875	2259	0.04	4.29	0.03712485	3.712485	44402
1987.67	48.88	48.875	2171	-0.04	-3.93	-0.02078805	-2.078805	44428
1987.75	35.13	35.125	1561	-0.28	-28.13	-0.2253366	-22.53366	44428
1987.83	35.13	35.125	1561	0	0	-0.07228604	-7.228604	44428
1987.92	39.13	39.125	1824	0.13	13.15	0.07032319	7.032319	46629
1988	37.5	37.5	1749	-0.04	-4.15	0.0448808	4.48808	46629
1988.08	37.88	37.875	1766	0.03	2.65	0.05169161	5.169161	46629
1988.17	36.63	36.625	1708	-0.03	-3.3	-0.01659891	-1.659891	46629
1988.25	42.25	42.25	1970	0.15	15.36	0.01099787	1.099787	46629
1988.33	42.25	42.25	1970	0.01	1.47	0.000438219	0.0438219	46629
1988.42	40.88	40.875	1915	-0.03	-3.25	0.05145916	5.145916	46844
1988.5	39.25	39.25	1839	-0.04	-3.98	-0.00727442	-0.727442	46844
1988.58	38.75	38.75	1815	0	0.31	-0.02800561	-2.800561	46844
1988.67	37.25	37.25	1778	-0.04	-3.87	0.03720704	3.720704	47744
1988.75	39.13	39.125	1868	0.05	5.03	0.01763632	1.763632	47744
1988.83	37.5	37.5	1790	-0.03	-2.57	-0.01642017	-1.642017	47744
1988.92	36.63	36.625	1736	-0.02	-2.33	0.02107135	2.107135	47406
1989	36.63	36.625	1736	0	0	0.06610351	6.610351	47406
1989.08	37.38	37.375	1772	0.04	3.74	-0.0164465	-1.64465	47406
1989.17	38.5	38.5	1934	0.03	3.01	0.0214643	2.14643	50236
1989.25	41.75	41.75	2097	0.08	8.44	0.04820513	4.820513	50236
1989.33	44.38	44.375	2229	0.08	7.77	0.0393381	3.93381	50236
1989.42	45.88	45.875	2304	0.03	3.38	-0.004866254	-0.4866254	50230
1989.5	48.75	48.75	2449	0.06	6.27	0.07713114	7.713114	50230
1989.58	51.25	51.25	2574	0.06	6.4	0.02212683	2.212683	50230
1989.67	52.75	52.75	2650	0.03	2.93	-0.00147541	-0.147541	50230
1989.75	50.75	50.75	2549	-0.04	-3.79	-0.02928151	-2.928151	50230
1989.83	55.5	55.5	2788	0.11	10.58	0.01781567	1.781567	50230
1989.92	57.63	57.625	2895	0.04	3.83	0.01829551	1.829551	50230
1990	56.88	56.875	2857	-0.01	-1.3	-0.07011591	-7.011591	50230
1990.08	53.63	53.625	2694	-0.06	-5.71	0.0149009	1.49009	50230
1990.17	53.63	53.625	2694	0.01	1.16	0.02414029	2.414029	50230
1990.25	51.75	51.75	2599	-0.03	-3.5	-0.02828282	-2.828282	50230
1990.33	56.5	56.5	2838	0.1	10.38	0.08893631	8.893631	50230
1990.42	56.75	56.75	2857	0	0.44	-0.00419616	-0.419616	50336
1990.5	55.5	55.5	2794	-0.02	-2.2	-0.009404754	-0.9404754	50336
1990.58	51.5	51.5	2592	-0.06	-6.09	-0.09189699	-9.189699	50336
1990.67	56.5	56.5	2846	0.1	9.71	-0.05384476	-5.384476	50380
1990.75	60.25	60.25	3035	0.07	6.64	-0.01250145	-1.250145	50380
1990.83	57.38	57.375	2891	-0.04	-3.74	0.06574492	6.574492	50380
1990.92	54.75	54.75	2761	-0.05	-4.58	0.02951617	2.951617	50430
1991	51.5	51.5	2597	-0.06	-5.94	0.04907525	4.907525	50430
1991.08	56.5	56.5	2849	0.1	9.71	0.07584678	7.584678	50430
1991.17	56.13	56.125	2830	0	0.43	0.0289227	2.89227	50430
1991.25	56	56	2824	0	-0.22	0.003323498	0.3323498	50430
1991.33	60.38	60.375	3045	0.09	8.92	0.04073345	4.073345	50430
1991.42	57.63	57.625	2897	-0.05	-4.55	-0.04402839	-4.402839	50276
1991.5	62	62	3117	0.08	7.59	0.04679671	4.679671	50276
1991.58	65.13	65.125	3274	0.06	6.04	0.02681867	2.681867	50276
1991.67	68.13	68.125	3445	0.05	4.61	-0.01097377	-1.097377	50575
1991.75	72.5	72.5	3667	0.06	6.42	0.01778982	1.778982	50575
1991.83	72.75	72.75	3679	0.01	1.24	-0.03727498	-3.727498	50575
1991.92	35	70	3540	-0.04	-3.78	0.1067822	10.67822	101150
1992	31.38	62.75	3174	-0.1	-10.36	-0.0011868	-0.11868	101150
1992.08	34.13	68.25	3452	0.09	8.76	0.01333913	1.333913	101150
1992.17	36.13	72.25	3648	0.07	6.81	-0.02369789	-2.369789	100992
1992.25	36.63	73.25	3699	0.01	1.38	0.01344226	1.344226	100992
1992.33	41.5	83	4191	0.14	14.2	0.006415555	0.6415555	100992
1992.42	41.88	83.75	4574	0.01	0.9	-0.01928446	-1.928446	109219
1992.5	45.38	90.75	4956	0.08	8.36	0.03987272	3.987272	109219
1992.58	47.63	95.25	5202	0.06	5.67	-0.02080161	-2.080161	109219
1992.67	49	98	5396	0.03	2.89	0.0124341	1.24341	110131
1992.75	49	98	5396	0	0	0.0109999	1.09999	110131
1992.83	46.25	92.5	5094	-0.05	-4.9	0.04018994	4.018994	110131
1992.92	46.38	92.75	5371	0	0.27	0.01775297	1.775297	115811
1993	49	98	5675	0.06	5.66	0.01264058	1.264058	115811
1993.08	56.25	112.5	6514	0.15	14.8	0.005398661	0.5398661	115811
