Year	Percentage Change, Stocks	Percentage Change, Treasuries	Stock Dollar	T-Bill Dollar	Stocks, Gross Return, Net Inf	T-Bill, Gross Return, Net Inf	Stock Dollar (adj inflation)	T-Bill Dollar (adj inflation)	Stocks - Inflation	T-Bill - Inflation	T-Bill Return (30 day)	CPI (All urban)	Value-weighted Return	Calendar Date
1925.91667			1	1			1	1						19251231
1926	0.06920855	0.2951	1.00069209	1.002951	1.00069209	1.002951	1.00069209	1.002951	0.00069209	0.002951	0.002951	0	0.000692086	19260130
1926.08333	-3.334166	0.2768	0.96732735	1.00572717	0.96665834	1.002768	0.96732735	1.00572717	-0.0333417	0.002768	0.002768	0	-0.03334166	19260227
1926.16667	-6.438126	0.2778	0.9050496	1.00852108	0.94120574	1.008365	0.91045405	1.01414008	-0.0587943	0.008365	0.002778	-0.005587	-0.06438126	19260331
1926.25	3.832156	0.3072	0.93973251	1.01161926	1.03270356	0.997454	0.94022914	1.01155808	0.03270356	-0.002546	0.003072	0.005618	0.03832156	19260430
1926.33333	1.221502	0.0342	0.95121136	1.01196523	1.01780202	1.005929	0.95696712	1.0175556	0.01780202	0.005929	0.000342	-0.005587	0.01221502	19260528
1926.41667	5.685002	0.3459	1.00528775	1.01546562	1.06246802	1.009077	1.01674696	1.02679196	0.06246802	0.009077	0.003459	-0.005618	0.05685002	19260630
1926.5	2.837864	0.2243	1.03381644	1.01774331	1.03967764	1.013542	1.05708908	1.04069677	0.03967764	0.013542	0.002243	-0.011299	0.02837864	19260731
1926.58333	2.795391	0.2536	1.06271566	1.0203243	1.03366791	1.00825	1.09267906	1.04928252	0.03366791	0.00825	0.002536	-0.005714	0.02795391	19260831
1926.66667	0.5906418	0.2273	1.0689925	1.0226435	1.00015942	0.996526	1.09285326	1.04563731	0.00015942	-0.003474	0.002273	0.005747	0.005906418	19260930
1926.75	-3.106939	0.3195	1.03577955	1.02591085	0.96321661	0.997481	1.05265441	1.04300335	-0.0367834	-0.002519	0.003195	0.005714	-0.03106939	19261030
1926.83333	2.696485	0.3093	1.06370919	1.02908399	1.02128285	0.997411	1.07505789	1.04030302	0.02128285	-0.002589	0.003093	0.005682	0.02696485	19261130
1926.91667	3.047179	0.2778	1.09612232	1.03194278	1.03047179	1.002778	1.10781683	1.04319298	0.03047179	0.002778	0.002778	0	0.03047179	19261231
1927	0.1460457	0.2463	1.09772316	1.03448446	1.01275946	1.013762	1.12195197	1.0575494	0.01275946	0.013762	0.002463	-0.011299	0.001460457	19270131
1927.08333	4.581723	0.257	1.14801779	1.03714308	1.05153123	1.008284	1.17976754	1.06631014	0.05153123	0.008284	0.00257	-0.005714	0.04581723	19270228
1927.16667	0.6257524	0.2959	1.15520154	1.04021199	1.01200452	1.008706	1.19393009	1.07559344	0.01200452	0.008706	0.002959	-0.005747	0.006257524	19270331
1927.25	0.6693006	0.2546	1.16293331	1.04286037	1.00669301	1.002546	1.20192107	1.0783319	0.00669301	0.002546	0.002546	0	0.006693006	19270430
1927.33333	5.657196	0.3008	1.22872273	1.04599729	1.05079196	0.997228	1.26296899	1.07534276	0.05079196	-0.002772	0.003008	0.00578	0.05657196	19270531
1927.41667	-2.01258	0.2583	1.2039937	1.04869911	0.9683802	0.991089	1.22303417	1.06576038	-0.0316198	-0.008911	0.002583	0.011494	-0.0201258	19270630
1927.5	7.308884	0.2991	1.2919922	1.05183576	1.09013384	1.020036	1.33327093	1.08711396	0.09013384	0.020036	0.002991	-0.017045	0.07308884	19270730
1927.58333	2.819371	0.2757	1.32841826	1.05473568	1.03397371	1.008537	1.37856709	1.09639465	0.03397371	0.008537	0.002757	-0.00578	0.02819371	19270831
1927.66667	4.902356	0.2096	1.39354205	1.0569464	1.04320956	0.996282	1.43813437	1.09231825	0.04320956	-0.003718	0.002096	0.005814	0.04902356	19270930
1927.75	-4.190496	0.252	1.33514572	1.05960991	0.95231504	0.99674	1.36955699	1.0887573	-0.047685	-0.00326	0.00252	0.00578	-0.04190496	19271031
1927.83333	6.867569	0.2086	1.42683778	1.06182025	1.07442269	1.007833	1.47148311	1.09728553	0.07442269	0.007833	0.002086	-0.005747	0.06867569	19271130
1927.91667	2.367641	0.223	1.46062017	1.06418811	1.02367641	1.00223	1.50632254	1.09973248	0.02367641	0.00223	0.00223	0	0.02367641	19271231
1928	-0.3946979	0.2225	1.45485514	1.06655593	0.99605302	1.002225	1.50037712	1.10217938	-0.003947	0.002225	0.002225	0	-0.003946979	19280131
1928.08333	-1.441851	0.3294	1.43387829	1.07006917	0.99714249	1.014855	1.49608978	1.11855226	-0.0028575	0.014855	0.003294	-0.011561	-0.01441851	19280229
1928.16667	9.097373	0.2936	1.56432355	1.07321089	1.09097373	1.002936	1.63219464	1.12183633	0.09097373	0.002936	0.002936	0	0.09097373	19280331
1928.25	4.302821	0.2224	1.63163359	1.07559771	1.04302821	1.002224	1.70242506	1.12433129	0.04302821	0.002224	0.002224	0	0.04302821	19280430
1928.33333	1.837763	0.292	1.66161915	1.07873845	1.01252963	0.997072	1.72375581	1.12103925	0.01252963	-0.002928	0.00292	0.005848	0.01837763	19280531
1928.41667	-4.527638	0.3122	1.58638705	1.08210628	0.96053762	1.008936	1.65573231	1.13105686	-0.0394624	0.008936	0.003122	-0.005814	-0.04527638	19280630
1928.5	1.009885	0.3226	1.60240774	1.08559715	1.01009885	1.003226	1.6724533	1.13470565	0.01009885	0.003226	0.003226	0	0.01009885	19280731
1928.58333	6.984047	0.3216	1.71432065	1.08908843	1.06984047	1.003216	1.78925822	1.13835486	0.06984047	0.003216	0.003216	0	0.06984047	19280831
1928.66667	3.121133	0.2723	1.76782687	1.09205402	1.01951533	0.991027	1.82417619	1.1281404	0.01951533	-0.008973	0.002723	0.011696	0.03121133	19280929
1928.75	1.895218	0.4378	1.80133105	1.09683503	1.02473218	1.010158	1.86929204	1.13960005	0.02473218	0.010158	0.004378	-0.00578	0.01895218	19281031
1928.83333	12.11278	0.3874	2.01952231	1.10108417	1.1211278	1.003874	2.09571528	1.14401486	0.1211278	0.003874	0.003874	0	0.1211278	19281130
1928.91667	0.4581704	0.3451	2.02877517	1.10488401	1.0103957	1.009265	2.11750171	1.15461416	0.0103957	0.009265	0.003451	-0.005814	0.004581704	19281231
1929	5.235485	0.3332	2.13499139	1.10856549	1.05235485	1.003332	2.2283632	1.15846133	0.05235485	0.003332	0.003332	0	0.05235485	19290131
1929.08333	0.00624008	0.3508	2.13512461	1.11245433	1.0000624	1.003508	2.22850225	1.16252522	0.0000624	0.003508	0.003508	0	6.24008E-05	19290228
1929.16667	-0.7930472	0.3431	2.11819207	1.11627116	0.99791753	1.009279	2.22386145	1.17331229	-0.0020825	0.009279	0.003431	-0.005848	-0.007930472	19290328
1929.25	1.726265	0.3567	2.15475767	1.1202529	1.02314465	1.009449	2.27533195	1.18439891	0.02314465	0.009449	0.003567	-0.005882	0.01726265	19290430
1929.33333	-5.609015	0.4388	2.03389699	1.12516857	0.93799285	0.998471	2.1342451	1.18258797	-0.0620072	-0.001529	0.004388	0.005917	-0.05609015	19290531
1929.41667	9.877709	0.5193	2.23479942	1.13101157	1.09289509	0.999311	2.33250599	1.18177317	0.09289509	-0.000689	0.005193	0.005882	0.09877709	19290629
1929.5	4.471862	0.3345	2.33473657	1.13479481	1.03302262	0.991649	2.40953145	1.17190418	0.03302262	-0.008351	0.003345	0.011696	0.04471862	19290731
1929.58333	8.658643	0.403	2.53689307	1.13936803	1.08658643	1.00403	2.61816418	1.17662695	0.08658643	0.00403	0.00403	0	0.08658643	19290830
1929.66667	-4.981206	0.3573	2.4105252	1.14343899	0.95018794	1.003573	2.48774802	1.18083104	-0.0498121	0.003573	0.003573	0	-0.04981206	19290930
1929.75	-19.55498	0.4796	1.93914748	1.14892293	0.8044502	1.004796	2.0012694	1.18649431	-0.1955498	0.004796	0.004796	0	-0.1955498	19291031
1929.83333	-12.29628	0.3547	1.70070448	1.15299816	0.8770372	1.003547	1.75518771	1.1907028	-0.1229628	0.003547	0.003547	0	-0.1229628	19291127
1929.91667	1.809099	0.3661	1.7314719	1.15721928	1.02387099	1.009441	1.79708578	1.20194423	0.02387099	0.009441	0.003661	-0.00578	0.01809099	19291231
1930	5.674226	0.1393	1.82971953	1.15883129	1.06255626	1.007207	1.90950474	1.21060664	0.06255626	0.007207	0.001393	-0.005814	0.05674226	19300131
1930.08333	2.770006	0.2964	1.88040287	1.16226606	1.03354806	1.008812	1.97356492	1.2212745	0.03354806	0.008812	0.002964	-0.005848	0.02770006	19300228
1930.16667	7.568528	0.3475	2.02272169	1.16630494	1.08156728	1.009357	2.13454324	1.23270197	0.08156728	0.009357	0.003475	-0.005882	0.07568528	19300331
1930.25	-2.129173	0.2104	1.97965445	1.16875884	0.97279127	0.996187	2.07646503	1.22800168	-0.0272087	-0.003813	0.002104	0.005917	-0.02129173	19300430
1930.33333	-1.300437	0.2581	1.95391029	1.17177541	0.99287763	1.008463	2.06167568	1.23839425	-0.0071224	0.008463	0.002581	-0.005882	-0.01300437	19300529
