Weight (grams)	Package Weight (gras)
0.98	51.06
0.9	50.45
0.9	49.4
0.88	50.25
0.89	50.58
0.8	51.73
0.85	49.87
0.83	50.14
0.83	50.11
0.83	50.32
0.86	53.26
0.86	50.15
0.86	49.82
0.87	49.98
0.81	50.79
0.82	50.2
0.87	49.08
0.91	48.9
0.86	49.83
0.91	50.08
0.8	48.99
0.83	50.91
0.87	50.24
0.8	51.59
0.88	50.25
0.87	51.19
0.83	49.34
0.88	49.13
0.85	50.31
0.92	50.23
0.81	49.62
0.86	49.93
0.91	48.53
0.87	50.14
0.84	47.47
0.86	50.89
0.9	51.88
0.88	49.21
0.91	49.76
0.94	51.27
0.77	49.7
0.85	49.43
0.87	48.87
0.85	48.84
0.83	50.65
0.83	53.07
0.87	49.94
0.9	50.14
