Change in Daily Sales	Region	Price Partition	Combined Factors	D(West)	D(Midwest)	D(South)	D(Northeast)	D(Sm Parts)	D(Sm Labor)	D(Total)
$346 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$419 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$218 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$475 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$253 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$269 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$413 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$375 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$414 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$481 	Midwest	Small Labor	Midwest-Small labor	0	1	0	0	0	1	0
$675 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$467 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$563 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$836 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$601 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$856 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$599 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$514 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$798 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$559 	Midwest	Small Parts	Midwest-Small Parts	0	1	0	0	1	0	0
$450 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$208 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$334 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$310 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$205 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$227 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$151 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$465 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$152 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$409 	Midwest	Total	Midwest-Total	0	1	0	0	0	0	1
$729 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$356 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$398 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$705 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$626 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$62 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$186 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$291 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$370 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$199 	Northeast	Small Labor	Northeast-Small labor	0	0	0	1	0	1	0
$133 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$203 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$472 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$51 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$24 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
($127)	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
($31)	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$168 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$184 	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
($14)	Northeast	Small Parts	Northeast-Small Parts	0	0	0	1	1	0	0
$247 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$398 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
($86)	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$193 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$148 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$244 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
