Areaname	State	Projects (per 1000 pop)	Pct Added Housing Sq Ft	Pct Change in Permits	Pct Added Housing Value	Empl Change (pct)	Median Age 2000	Percent Under 5	Percent Under 18	Percent Above 65	Employment Change	Unemployment 1990	Unemployment 2000	Unemployment 2008	School (pct)	School Percent HS	Change Housing Value (pct)	Rent (med) 1980	Rent (med)  2000	Income (household median) 1979	Income (median) 1989	Income (median) 1999	Income (median) 2000	Income (median) 2007	Poverty (pct) 2007	Pop Urban (pct) 2000	Pop Density 2008	Pop Female (pct) 2000	Pop White (pct) 2000	Pop Black (pct) 2000	Pop Asian (pct) 2000	Travel time work 2000	Income (per cap) 1980	Income (per cap) 1990	Income (per cap) 2000	---	Alabama	Arkansas	Florida	Georgia	Louisiana	Mississippi	North Carolina	South Carolina	Tennessee	Virginia	West Virginia	Area (sq mile)	Pop (urban) 2000	Pop (rural) 2000	School enroll (pub) 2004	School enroll (pub) 2006	Housing Med Value 1980	Housing Med Value 1990	Housing Med Value 2000	Housing permits 2005	Housing permits 2008	Housing value new 2005	Housing value new 2008	Pop 1980	Pop 1990	Pop 2000	Pop 2008
Butler, AL	AL	1.91235441	-21.052632	-246.6666667	-52.43521001	0.03409657	37.7	6.8	24	15.9	685	13	6.9	7.7	17.0681931	67.8	181.463415	121	328	10206	16054	24791	25763	30460	23.2	24.706762	25.8601825	53.2	58.4	40.8	0.2	26.3	6431	11221	18943		1	0	0	0	0	0	0	0	0	0	0	776.87	5287	16112	3548	3429	20500	34000	57700	52	15	4476	2129	21680	21892	21399	20090
Cherokee, AL	AL	0.97197276	-40.740741	-35	0.162667751	0.03768588	40	5.3	21	18.8	925	10	4	5.2	16.9403137	63.5	176.727273	153	362	12004	21368	30874	31436	37376	18.9	0	44.3755424	50.8	92.8	5.5	0.1	30	6358	12251	18478		1	0	0	0	0	0	0	0	0	0	0	553.12	0	23988	4225	4158	27500	44700	76100	27	20	2459	2463	18760	19543	23988	24545
Cleburne, AL	AL	0.98415202	550	-161.5384615	34.25	-0.0298669	37.5	6.2	22.8	15.6	-442	6.6	3.6	4.5	18.2647476	62.9	184.063745	138	378	12782	21158	30820	31551	38918	15.4	0	26.4168794	50.2	94.7	3.7	0.1	30.3	7201	13800	18352		1	0	0	0	0	0	0	0	0	0	0	560.21	0	14123	2503	2703	25100	42600	71300	34	13	1600	2148	12595	12730	14123	14799
Coffee, AL	AL	6.07510385	-30.136986	-98.11320755	-46.94521787	0.04493958	37.2	6.6	23.9	14.6	2146	6.4	5.1	4.3	18.4763261	73.2	128.656716	175	415	14148	23905	33664	34561	36819	16.5	44.5718216	70.3294599	51.2	77.1	18.4	0.9	21.4	6817	15036	23458		1	0	0	0	0	0	0	0	0	0	0	678.99	19440	24175	8361	8823	33500	53300	76600	525	265	56387	29916	38533	40240	43615	47753
Covington, AL	AL	0.70700983	0	0	26.03491272	0.02930323	39.8	6.3	22.3	19	1080	7.8	6.1	5.3	16.9578902	68.4	155.405405	137	340	11209	18394	26336	27531	32490	19.4	28.0353963	35.6503066	52.2	86.2	12.4	0.2	23.6	6706	13066	19512		1	0	0	0	0	0	0	0	0	0	0	1033.82	10550	27081	6237	6250	22200	34800	56700	13	13	2005	2527	36850	36478	37631	36856
Elmore, AL	AL	1.99691394	-70.27027	-374.5454545	-82.50355063	0.08286175	35.3	6.8	24.6	11.5	6472	6.2	3.5	4.6	16.1575295	77.6	171.468144	155	486	14985	26341	41243	41233	49193	11.3	37.5474391	125.72192	49.4	77	20.6	0.4	28.7	7624	14488	23099		1	0	0	0	0	0	0	0	0	0	0	621.26	24734	41140	12136	12620	36100	58100	98000	522	110	76747	13428	43390	49210	65874	78106
Etowah, AL	AL	2.34637193	-43.323442	-100.5025126	-37.09456265	-0.0018973	38.3	6.2	23	16.1	-196	11.1	5.2	5.3	15.7333282	74.1	146.366782	169	395	13320	22314	31170	31490	35420	17.4	60.1445983	193.154706	52.1	82.9	14.7	0.4	24.5	7942	14601	21412		1	0	0	0	0	0	0	0	0	0	0	534.82	62225	41234	15971	16253	28900	42700	71200	399	199	42300	26609	103057	99840	103459	103303
Geneva, AL	AL	0.68922605	-54.545455	-120	-45.49330085	0.03179816	39.3	6	21.7	17	823	4.8	4.5	4.8	15.4624836	65.6	149.553571	130	319	10866	20027	26448	27382	33734	19.5	13.1656575	44.9121955	51.4	87.1	10.6	0.1	27.2	6376	13685	20157		1	0	0	0	0	0	0	0	0	0	0	576.28	3392	22372	3961	4002	22400	35800	55900	22	10	1642	895	24253	23647	25764	25882
Lauderdale, AL	AL	1.99663226	-6.0606061	-16.33986928	-11.97678509	0.01797415	37.6	5.6	21	16.9	1602	7	4.4	5.1	14.5150794	76.4	122.513089	202	420	15093	23690	33354	34032	37981	18.1	48.2027147	133.134168	52.2	88.4	9.8	0.4	23.7	7681	15835	22117		1	0	0	0	0	0	0	0	0	0	0	669.46	42402	45564	13040	12937	38200	52700	85000	178	153	17058	15015	80546	79661	87966	89128
Madison, AL	AL	9.92500373	-26.473399	-6.547418157	-25.78285336	0.0820882	35.7	6.4	24.2	12.6	26228	4.9	3.1	3.7	15.6098401	85.4	142.488263	223	503	16957	33048	44704	45736	52870	11.3	77.0823997	396.94628	51.2	72.1	22.8	1.9	20.9	9014	20317	28824		1	0	0	0	0	0	0	0	0	0	0	804.92	213287	63413	47065	49875	42600	77900	103300	3157	2963	392730	291473	196966	238912	276700	319510
Marengo, AL	AL	2.71200394	-13.333333	-15.38461538	-3.684421306	-0.0120161	36.4	6.4	25.1	15.3	-253	6.8	4.6	6.7	21.3678461	71.9	151.526718	132	305	10494	18663	27025	28060	32747	20	29.4999778	21.549783	53.1	47.3	51.7	0.2	25.5	6256	13045	21299		1	0	0	0	0	0	0	0	0	0	0	977.04	6649	15890	4514	4499	26200	41800	65900	30	26	2497	2405	25047	23084	22539	21055
Marion, AL	AL	0.40830428	-64	-177.7777778	-56.56691604	-0.0007806	38.9	5.9	20.9	18.4	-23	14.2	5.9	7.2	17.0643136	63.2	141.444867	137	328	11964	18455	27475	28247	32752	19.7	0.30114692	39.7418432	50.5	94.8	3.6	0.2	23.6	6271	11992	18520		1	0	0	0	0	0	0	0	0	0	0	741.41	94	31120	4939	5028	26300	38300	63500	25	9	2406	1045	30041	29830	31214	29465
Mobile, AL	AL	6.90049906	-22.944653	9.644039735	-8.414936832	0.03767822	34.4	7.3	26.3	12.3	15309	7	4.4	5.1	16.0215501	76.7	114.666667	201	476	14702	22994	33710	34685	37575	20.8	80.3040193	329.50474	52.2	63.1	33.4	1.4	25.2	8053	14516	21594		1	0	0	0	0	0	0	0	0	0	0	1233.09	321090	78753	63987	65097	37500	53300	80500	2183	2416	250602	229514	364980	378643	399843	406309
Monroe, AL	AL	1.50043428	0	0	26.65148064	-0.0210172	35.4	6.1	25.1	14.6	-474	10.6	5.7	9.2	19.3366736	67.9	153.409091	134	351	11596	21140	29093	29802	32367	23.6	21.5342871	21.9846956	52.4	57.7	40.1	0.3	23.3	6297	13132	19450		1	0	0	0	0	0	0	0	0	0	0	1025.85	5238	19086	4297	4361	26400	43200	66900	8	8	878	1112	22651	23968	24324	22553
Montgomery, AL	AL	2.99437188	-65.255906	-331.5789474	-66.79373839	0.06208354	33.5	7.3	25.6	12.2	13957	6.3	3.7	5.3	14.1750812	80.3	122.025316	200	526	14877	26551	35962	36918	41199	18.1	88.1468391	284.656098	52.4	48.8	48.6	1	20.2	8944	18505	27253		1	0	0	0	0	0	0	0	0	0	0	789.76	197017	26493	32066	31867	39500	62600	87700	1558	361	165261	54877	197038	209085	223510	224810
Pike, AL	AL	4.23849925	0	-26.80412371	0.156507414	0.08742306	32.5	6.6	22.8	12.9	2656	6.1	4.9	4.3	14.9995063	69.1	176.744186	142	334	9748	17312	25551	26317	25817	27	39.7770647	45.275174	52.8	60.8	36.6	0.4	22	6247	13737	21005		1	0	0	0	0	0	0	0	0	0	0	671.03	11776	17829	4521	4557	25800	43500	71400	123	97	12140	12159	28050	27595	29605	30381
Russell, AL	AL	9.40268561	-24.117647	-23.07692308	10.5129233	-0.0004356	35.4	6.9	25.3	14.4	-22	8.2	4.1	7.1	18.2064787	66.5	181.496063	151	428	11344	20995	27492	28641	33546	21.2	63.7109092	78.750078	52.4	56.7	40.8	0.4	24.6	6568	13343	19425		1	0	0	0	0	0	0	0	0	0	0	641.32	31700	18056	8900	9195	25400	46200	71500	512	416	57377	63409	47356	46860	49756	50504
Shelby, AL	AL	4.07224738	-74.033359	-277.1034483	-71.9283392	0.2011673	34.9	7.5	26.6	9.2	37776	3.3	2.4	3.3	13.6513228	86.8	186.523438	222	635	18272	36852	55440	59451	67031	6.9	64.3269385	236.298431	51	89.8	7.4	1	28.6	8947	20057	32920		1	0	0	0	0	0	0	0	0	0	0	794.69	92176	51117	23336	25635	51200	88300	146700	2734	725	435831	122345	66298	99358	143293	187784
Sumter, AL	AL	5.40817816	2100	95.45454546	1548.874598	-0.01387	32.1	5.7	23.2	16.2	-184	9.8	8.1	7.8	18.2119705	64.8	153.521127	129	298	9185	12811	18911	20582	23439	35	0	14.6595354	54.1	25.9	73.2	0.1	28	5420	10732	16510		1	0	0	0	0	0	0	0	0	0	0	904.94	0	14798	2570	2416	21300	34700	54000	2	44	311	5128	16908	16174	14798	13266
Talladega, AL	AL	5.37190423	15.5913978	48.18941504	45.48611111	0.06590765	36.6	6.2	23.3	14.1	5291	9.3	4.6	6.5	16.2259121	69.7	170.411985	155	351	12625	21378	31628	31457	38644	18	44.6794736	108.554082	51.1	67	31.5	0.2	25.1	6978	12999	19022		1	0	0	0	0	0	0	0	0	0	0	739.53	35887	44434	13224	13026	26700	44800	72200	186	359	21600	31425	73826	74107	80321	80279
Arkansas, AR	AR	1.55233105	-50	-111.7647059	-44.74183351	0.04917862	38.7	6.3	23.2	16.6	946	4.7	4.5	9.2	17.6595966	72.4	72.1212121	155	392	12189	19516	30316	31544	37344	17.9	63.1355728	19.4599844	52.4	75.2	23.4	0.4	16.5	8063	14607	21564		0	1	0	0	0	0	0	0	0	0	0	988.49	13100	7649	3538	3397	33000	40600	56800	36	17	4745	2622	24175	21653	20749	19236
Baxter, AR	AR	0.85765947	-69.491525	-366.6666667	-76.8304815	0.05397127	48.1	5	18.8	27.2	2273	6.1	4.1	5.6	12.4302505	77.5	128.99729	210	435	11432	18826	29106	30215	35845	12.4	32.6368989	75.9704885	52	97.8	0.1	0.3	18.4	7868	15269	22026		0	1	0	0	0	0	0	0	0	0	0	554.36	12528	25858	5047	5235	36900	51800	84500	168	36	20104	4658	27409	31186	38386	42115
Benton, AR	AR	3.22891645	-83.024093	-590.8148148	-82.14721345	0.16644661	35.3	8.3	28	11.7	34919	3.7	2.8	3.8	16.1856324	80.4	143.076923	211	528	13930	26021	40281	41729	49064	11.3	58.6776267	247.982837	50.7	90.9	0.4	1.1	19.5	8098	16514	25020		0	1	0	0	0	0	0	0	0	0	0	845.99	90015	63391	30554	33956	39000	58700	94800	4663	675	565682	100990	78115	97499	153406	209791
Conway, AR	AR	0.90427849	-44.444444	-36.36363636	-33.90842734	0.04312214	37.9	6.5	23.5	16.2	895	6.3	6.1	5.2	15.7793303	73.2	126.717557	148	414	11681	20538	31209	31857	36786	18.7	27.5963808	37.3190686	51.5	84.3	13.1	0.2	24.9	7090	13234	21622		0	1	0	0	0	0	0	0	0	0	0	556.15	5612	14724	3300	3275	26200	38200	59400	15	11	1507	996	19505	19151	20336	20755
Cross, AR	AR	2.64439084	-30.769231	-10.81081081	-22.38081224	-0.0281795	35.9	6.5	24.2	14.5	-530	8.5	4.7	6.4	20.0446618	68.3	104.318937	174	420	12171	19049	29362	29655	33176	20.7	41.3960873	30.5399042	51.5	74.8	23.7	0.3	23.4	6487	11624	17528		0	1	0	0	0	0	0	0	0	0	0	615.85	8083	11443	3962	3770	30100	39100	61500	41	37	6796	5275	20434	19225	19526	18808
